date;rate;cpi;gold
1.02.2020;6.04;448.02;2148.00
1.03.2020;6.31;450.58;2279.33
1.04.2020;6.82;454.43;2568.40
1.05.2020;6.95;460.62;2647.00
1.06.2020;6.81;465.84;2624.00
1.07.2020;6.85;468.56;2820.60
1.08.2020;7.25;472.61;3263.25
1.09.2020;7.51;477.21;3228.00
1.10.2020;7.87;487.38;3358.80
1.11.2020;8;498.58;3312.00
1.12.2020;7.72;504.81;3195.60
1.01.2021;7.39;513.3;3109.20
1.02.2021;7.07;517.96;2879.00
1.03.2021;7.63;523.53;2926.00
1.04.2021;8.16;532.32;3027.60
1.05.2021;8.34;537.05;3347.25
1.06.2021;8.6;547.48;3492.00
1.07.2021;8.61;557.36;3418.00
1.08.2021;8.48;563.6;3353.50
1.09.2021;8.51;570.66;3367.50
1.10.2021;9.14;584.32;3554.00
1.11.2021;10.52;604.84;4292.00
1.12.2021;13.53;686.95;5560.00
1.01.2022;13.52;763.23;5468.00
1.02.2022;13.62;799.93;5636.50
